"date","new_cases","total_cases","new_deaths","total_deaths","recover","total_recover"
2021-04-01,27,6277,1,24,62,5659
2021-04-02,66,6343,0,24,58,5717
2021-04-03,64,6407,1,25,68,5785
2021-04-04,18,6425,0,25,98,5883
2021-04-05,31,6456,0,25,100,5983
2021-04-06,126,6582,1,26,40,6023
2021-04-07,38,6620,0,26,59,6082
2021-04-08,87,6707,0,26,51,6133
2021-04-09,143,6850,0,26,44,6177
2021-04-10,171,7021,0,26,37,6214
2021-04-11,98,7119,0,26,41,6255
2021-04-12,58,7177,0,26,37,6292
2021-04-13,103,7280,0,26,34,6326
2021-04-14,226,7506,0,26,81,6407
2021-04-15,221,7727,0,26,102,6509
2021-04-16,164,7891,0,26,68,6577
2021-04-17,225,8116,0,26,86,6663
2021-04-18,332,8448,2,28,130,6793
2021-04-19,290,8738,0,28,133,6926
2021-04-20,429,9167,0,28,86,7012
2021-04-21,370,9537,0,28,133,7145
2021-04-22,662,10199,1,29,236,7381
2021-04-23,476,10675,2,31,119,7500
2021-04-24,518,11193,0,31,152,7652
2021-04-25,424,11617,0,31,186,7838
2021-04-26,343,11960,1,32,286,8124
2021-04-27,484,12444,2,34,255,8379
2021-04-28,523,12967,2,36,243,8622
2021-04-29,401,13368,4,40,411,9033
2021-04-30,464,13832,0,40,305,9338
2021-05-01,442,14274,1,41,415,9753
2021-05-02,400,14674,3,44,410,10163
2021-05-03,401,15075,2,46,371,10534
2021-05-04,296,15371,6,52,468,11002
2021-05-05,480,15851,1,53,364,11366
2021-05-06,326,16177,2,55,456,11822
2021-05-07,297,16474,3,58,451,12273
2021-05-08,373,16847,2,60,474,12747
2021-05-09,254,17101,3,63,392,13139
2021-05-10,329,17430,1,64,307,13446
2021-05-11,321,17751,5,69,393,13839
2021-05-12,297,18048,2,71,370,14209
2021-05-13,339,18387,3,74,404,14613
2021-05-14,371,18758,4,78,233,14846
2021-05-15,109,18867,5,83,372,15218
2021-05-16,357,19224,0,83,284,15502
2021-05-17,343,19567,4,87,369,15871
2021-05-18,406,19973,4,91,295,16166
2021-05-19,441,20414,4,95,308,16474
2021-05-20,426,20840,6,101,373,16847
2021-05-21,467,21307,1,102,254,17101
2021-05-22,613,21920,1,103,291,17392
2021-05-23,626,22546,1,104,343,17735
2021-05-24,451,22997,0,104,210,17945
2021-05-25,425,23422,3,107,341,18286
2021-05-26,547,23969,0,107,350,18636
2021-05-27,754,24723,5,112,447,19083
2021-05-28,851,25574,2,114,465,19548
2021-05-29,907,26481,2,116,514,20062
2021-05-30,612,27093,0,116,592,20654
2021-05-31,695,27788,5,121,518,21172
2021-06-01,531,28319,5,126,515,21687
2021-06-02,541,28860,12,138,465,22152
2021-06-03,414,29274,8,146,568,22720
2021-06-04,286,29560,2,148,654,23374
2021-06-05,312,29872,6,154,573,23947
2021-06-06,270,30142,3,157,439,24386
2021-06-07,341,30483,4,161,606,24992
2021-06-08,204,30687,4,165,423,25415
2021-06-09,340,31027,7,172,545,25960
2021-06-10,262,31289,2,174,609,26569
2021-06-11,248,31537,1,175,520,27089
2021-06-12,337,31874,3,178,328,27417
2021-06-13,179,32053,2,180,396,27813
2021-06-14,214,32267,2,182,319,28132
2021-06-15,245,32512,3,185,295,28427
2021-06-16,230,32742,1,186,324,28751
2021-06-17,154,32896,1,187,317,29068
2021-06-18,200,33096,0,187,221,29289
2021-06-19,223,33319,2,189,304,29593
2021-06-20,167,33486,0,189,255,29848
2021-06-21,219,33705,4,193,268,30116
2021-06-22,165,33870,0,193,199,30315
2021-06-23,81,33951,6,199,205,30520
2021-06-24,135,34086,8,207,369,30889
2021-06-25,98,34184,2,209,183,31072
2021-06-26,103,34287,0,209,191,31263
2021-06-27,133,34420,6,215,169,31432
2021-06-28,101,34521,2,217,171,31603
2021-06-29,131,34652,4,221,181,31784
2021-06-30,159,34811,2,223,175,31959
2021-07-01,108,34919,0,223,227,32186
2021-07-02,129,35048,2,225,77,32263
2021-07-03,89,35137,0,225,131,32394
2021-07-04,124,35261,0,225,84,32478
2021-07-05,114,35375,3,228,138,32616
2021-07-06,118,35493,6,234,93,32709
2021-07-07,123,35616,1,235,116,32825
2021-07-08,135,35751,4,239,136,32961
