"date","recover"
2021-04-01,62
2021-04-02,58
2021-04-03,68
2021-04-04,98
2021-04-05,100
2021-04-06,40
2021-04-07,59
2021-04-08,51
2021-04-09,44
2021-04-10,37
2021-04-11,41
2021-04-12,37
2021-04-13,34
2021-04-14,81
2021-04-15,102
2021-04-16,68
2021-04-17,86
2021-04-18,130
2021-04-19,133
2021-04-20,86
2021-04-21,133
2021-04-22,236
2021-04-23,119
2021-04-24,152
2021-04-25,186
2021-04-26,286
2021-04-27,255
2021-04-28,243
2021-04-29,411
2021-04-30,305
2021-05-01,415
2021-05-02,410
2021-05-03,371
2021-05-04,468
2021-05-05,364
2021-05-06,456
2021-05-07,451
2021-05-08,474
2021-05-09,392
2021-05-10,307
2021-05-11,393
2021-05-12,370
2021-05-13,404
2021-05-14,233
2021-05-15,372
2021-05-16,284
2021-05-17,369
2021-05-18,295
2021-05-19,308
2021-05-20,373
2021-05-21,254
2021-05-22,291
