"","time","S","I","R","Date","A","Rm","total_infected"
"1",1,35167,517,5908,2021-04-04,517,5908,6425
"2",2,35078.8278569336,559.142292659272,5954.02985040718,2021-04-05,448,6008,6513.17214306645
"3",3,34983.7392349523,604.460544706317,6003.80022034139,2021-04-06,533,6049,6608.2607650477
"4",4,34881.2560259117,653.15121493023,6057.59275915803,2021-04-07,512,6108,6710.74397408826
"5",5,34770.882643579,705.413569401778,6115.7037870192,2021-04-08,548,6159,6821.11735642098
"6",6,34652.1018671064,761.450485868009,6178.44764702559,2021-04-09,647,6203,6939.8981328936
"7",7,34524.3772757144,821.46634360026,6246.15638068536,2021-04-10,781,6240,7067.62272428562
"8",8,34387.1558663845,885.664902326682,6319.17923128885,2021-04-11,838,6281,7204.84413361553
"9",9,34239.8702161065,954.24702985951,6397.88275403401,2021-04-12,859,6318,7352.12978389352
"10",10,34081.9414238287,1027.40803773373,6482.6505384376,2021-04-13,928,6352,7510.05857617133
"11",11,33912.78305626,1105.33441094422,6573.88253279575,2021-04-14,1073,6433,7679.21694373998
"12",12,33731.8056643198,1188.20020863675,6671.9941270434,2021-04-15,1192,6535,7860.19433568016
"13",13,33538.4218842551,1276.16316542343,6777.41495032141,2021-04-16,1288,6603,8053.57811574484
"14",14,33332.052528676,1369.36019506245,6890.58727626149,2021-04-17,1427,6689,8259.94747132394
"15",15,33112.1334761954,1467.90249520504,7011.96402859956,2021-04-18,1627,6821,8479.86652380461
"16",16,32878.1233143573,1571.87031765731,7142.00636798539,2021-04-19,1784,6954,8713.8766856427
"17",17,32629.5118028858,1681.30739923595,7281.1807978782,2021-04-20,2127,7040,8962.48819711415
"18",18,32365.8290500733,1796.21516064959,7429.95578927713,2021-04-21,2364,7173,9226.17094992672
"19",19,32086.6552951256,1916.54678827627,7588.79791659807,2021-04-22,2789,7410,9505.34470487434
"20",20,31791.6312092669,2042.20131532659,7758.16747540646,2021-04-23,3144,7531,9800.36879073305
"21",21,31480.4685333754,2173.01787075268,7938.51359587195,2021-04-24,3510,7683,10111.5314666246
"22",22,31152.9608260518,2308.770292173,8130.26888177517,2021-04-25,3748,7869,10439.0391739482
"23",23,30808.9940759188,2449.1623121974,8333.84361188379,2021-04-26,3804,8156,10783.0059240812
"24",24,30448.5568821472,2593.82355534552,8549.61956250724,2021-04-27,4031,8413,11143.4431178528
"25",25,30071.7498886256,2742.30658087075,8777.94353050358,2021-04-28,4309,8658,11520.2501113743
"26",26,29678.7941292708,2894.08521548102,9019.12065524819,2021-04-29,4295,9073,11913.2058707292
"27",27,29270.0379243318,3048.55441293089,9273.40766273734,2021-04-30,4454,9378,12321.9620756682
"28",28,28845.9619818085,3205.03184790552,9541.006170286,2021-05-01,4480,9794,12746.0380181915
"29",29,28407.1823779275,3362.7614137576,9822.0562083149,2021-05-02,4467,10207,13184.8176220725
"30",30,27954.4511353096,3520.91873768613,10116.6301270043,2021-05-03,4495,10580,13637.5488646904
"31",31,27488.6541745282,3678.61876213662,10424.7270633351,2021-05-04,4317,11054,14103.3458254718
"32",32,27010.8064913188,3834.92536360594,10746.2681450752,2021-05-05,4432,11419,14581.1935086812
"33",33,26522.0445100177,3988.8628893705,11081.0926006118,2021-05-06,4300,11877,15069.9554899823
"34",34,26023.6156660344,4139.42940377446,11428.9549301911,2021-05-07,4143,12331,15568.3843339655
"35",35,25516.8653730418,4285.61135099616,11789.5232759621,2021-05-08,4040,12807,16075.1346269582
"36",36,25003.2216475664,4426.39925823766,12162.3790941959,2021-05-09,3899,13202,16588.7783524336
"37",37,24484.1777617489,4560.80403880714,12547.018199444,2021-05-10,3920,13510,17107.8222382511
"38",38,23961.2733741343,4687.87341305044,12942.8532128153,2021-05-11,3843,13908,17630.7266258657
"39",39,23436.0746749303,4806.70792228771,13349.217402782,2021-05-12,3768,14280,18155.9253250697
"40",40,22910.1540917332,4916.47604825293,13765.3698600138,2021-05-13,3700,14687,18681.8459082668
"41",41,22385.0701298313,5016.42795781848,14190.5019123502,2021-05-14,3834,14924,19206.9298701687
"42",42,21862.3479170245,5105.90744232028,14623.7446406552,2021-05-15,3566,15301,19729.6520829755
"43",43,21343.4609693312,5184.361703536,15064.1773271328,2021-05-16,3639,15585,20248.5390306688
"44",44,20829.8146314072,5251.3487291499,15510.8366394429,2021-05-17,3609,15958,20762.1853685928
"45",45,20322.7315573937,5306.54210568978,15962.7263369166,2021-05-18,3716,16257,21269.2684426063
"46",46,19823.439509476,5349.73321367524,16418.8272768488,2021-05-19,3845,16569,21768.560490524
"47",47,19333.061644483,5380.83085760127,16878.1074979158,2021-05-20,3892,16948,22258.938355517
"48",48,18852.6093623084,5399.85847044138,17339.5321672502,2021-05-21,4104,17203,22739.3906376916
"49",49,18382.9776917784,5406.94911639086,17802.0731918308,2021-05-22,4425,17495,23209.0223082216
"50",50,17924.9431042547,5402.33857759609,18264.7183181492,2021-05-23,4707,17839,23667.0568957453
"51",51,17479.1635777812,5386.3568524726,18726.4795697462,2021-05-24,4948,18049,24112.8364222188
"52",52,17046.180677843,5359.4184205007,19186.4009016563,2021-05-25,5029,18393,24545.819322157
"53",53,16626.4233853936,5322.01163280128,19643.5649818051,2021-05-26,5226,18743,24965.5766146064
"54",54,16220.2133809534,5274.6875795336,20097.099039513,2021-05-27,5528,19195,25371.7866190466
